"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\members.lang","MorAndPhy","Legal entity and Individual","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MoreActionBankDirect","Create a direct entry on bank account","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MoreActionBankViaInvoice","Create an invoice, and a payment on bank account","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MoreActionInvoiceOnly","Create an invoice with no payment","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MoreActions","Complementary action on recording","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","MoreActionsOnSubscription","Complementary action suggested by default when recording a contribution, also done automatically on online payment of a contribution","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","Morphy","Moral or physical","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NameOrCompany","Name or company","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NbOfActiveMembers","Total number of current active members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NbOfMembers","Total number of members","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NbOfSubscriptions","Number of memberships","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NewCotisation","New contribution","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NewMemberbyWeb","New member added. Awaiting approval","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NewMemberForm","New member form","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NewMemberType","New member type","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NewSubscription","New contribution","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NewSubscriptionDesc","This form allows you to record your subscription as a new member of the foundation. If you want to renew your subscription (if already a member), please contact foundation board instead by email %s.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","NoCorrection","No correction","","needs_translation","Direct en_US vs ms_MY gap"
