"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\products.lang","FillBarCodeTypeAndValueFromThirdParty","Fill barcode type and value from barcode of a third party.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","FillBarCodeTypeAndValueManually","Fill barcode type and value manually.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","FillWithLastServiceDates","Fill with last service line dates","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","Finished","Manufactured product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ForceUpdateChildPriceSoc","Set same price on customer's subsidiaries","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","g","g","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GenerateImage","Generate image","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GenerateThumb","Generate thumb","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GenerateWithAI","Generate with AI","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GlobalVariables","Global variables","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GlobalVariableUpdaterHelp0","Parses JSON data from specified URL, VALUE specifies the location of relevant value,","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GlobalVariableUpdaterHelp1","Parses WebService data from specified URL, NS specifies the namespace, VALUE specifies the location of relevant value, DATA should contain the data to send and METHOD is the calling WS method","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GlobalVariableUpdaterHelpFormat0","Format for request {""URL"": ""http://example.com/urlofjson"", ""VALUE"": ""array1,array2,targetvalue""}","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GlobalVariableUpdaterHelpFormat1","Format for request is {""URL"": ""http://example.com/urlofws"", ""VALUE"": ""array,targetvalue"", ""NS"": ""http://example.com/urlofns"", ""METHOD"": ""myWSMethod"", ""DATA"": {""your"": ""data"", ""to"": ""send""}}","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GlobalVariableUpdaters","External updaters for variables","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GlobalVariableUpdaterType0","JSON data","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GlobalVariableUpdaterType1","WebService data","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","GoOnMenuToCreateVairants","Go on menu %s - %s to prepare attribute variants (like colors, size, ...)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","gram","gram","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","h","h","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","HeightUnits","Height unit","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","HideChildProducts","Hide variant products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","HideProductCombinations","Hide products variant in the products selector","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","hour","hour","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","IfZeroItIsNotAVirtualProduct","If 0, this product is not a kit","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","IfZeroItIsNotUsedByVirtualProduct","If 0, this product is not used by any kit","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ImpactOnPriceLevel","Impact on price level %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ImportDataset_produit_1","Products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ImportDataset_service_1","Services","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","IncludingProductWithTag","Including products/services with the tag","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","InventoryExtraFields"," Extra Fields (inventory)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","KeepEmptyForAutoCalculation","Keep empty to have this calculated automatically from weight or volume of products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","KeywordFilter","Search by keyword","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","kg","Kg","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","kilogram","kilogram","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","l","L","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","LastModifiedProductsAndServices","Latest %s products/services which were modified","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","LastRecordedProducts","Latest %s recorded products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","LastRecordedServices","Latest %s recorded services","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","LastUpdated","Latest update","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","LengthUnits","Length unit","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ListOfProductsServices","List of products/services","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ListProductByPopularity","List of products by popularity","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ListProductServiceByPopularity","List of products/services by popularity","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ListServiceByPopularity","List of services by popularity","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","liter","liter","","needs_translation","Direct en_US vs ms_MY gap"
